date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - ليوم الخميس 2018/12/13 والمنفذ يوم الأربعاء 2018/12/12  ,"157,155,249","20,180,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/457
تـاريخ البيع - ليوم الأحد 2018/12/16 والمنفذ يوم الخميس 2018/12/13  ,"161,214,500","22,800,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/458
تـاريخ البيع - ليوم الأثنين 2018/12/17 والمنفذ يوم الأحد 2018/12/16  ,"137,366,500","23,590,000
","160,956,500",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/459
تـاريخ البيع - ليوم الثلاثاء 2018/12/18 والمنفذ يوم الأثنين 2018/12/17  ,"181,594,663","25,700,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/460
تـاريخ البيع - ليوم  الأربعاء 2018/12/19 والمنفذ يوم الثلاثاء 2018/12/18  ,"177,773,481","24,600,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/461
تـاريخ البيع - ليوم الخميس 2018/12/20 والمنفذ يوم الأربعاء 2018/12/19  ,"176,696,650","21,020,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/462
تـاريخ البيع - ليوم الأحد 2018/12/23 والمنفذ يوم الخميس 2018/12/20  ,"194,026,049","22,020,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/463
تـاريخ البيع - ليوم الأثنين 2018/12/24 والمنفذ يوم الأحد 2018/12/23  ,"183,741,250","26,510,000
","210,251,250",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/464
تـاريخ البيع - ليوم الثلاثاء 2018/12/25 والمنفذ يوم الأثنين 2018/12/24  ,"188,487,000","25,200,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/465
تـاريخ البيع - ليوم الخميس 2018/12/27 والمنفذ يوم الأربعاء 2018/12/26  ,"201,449,869","19,200,000",اجمالي المبيعات الكلية,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/466
