date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - ليوم الاثنين 2018/6/18 والمنفذ يوم الخميس 2018/6/14  ,"81,866,555","41,540,000","123,406,555
",علماً أن :,https://cbi.iq/currency_auction/view/325
تـاريخ البيع - ليوم الثلاثاء 2018/6/19 والمنفذ يوم الخميس 2018/6/14  ,"87,486,242","43,960,000","131,446,242
",علماً أن :,https://cbi.iq/currency_auction/view/326
تـاريخ البيع - ليوم الأربعاء 2018/6/20 والمنفذ يوم الأربعاء 2018/6/20  ,"81,555,500","44,700,000","126,255,500",علماً أن :,https://cbi.iq/currency_auction/view/327
تـاريخ البيع - ليوم الخميس 2018/6/21 والمنفذ يوم الأربعاء 2018/6/20  ," 85,446,195","41,580,000","127,026,195",علماً أن :,https://cbi.iq/currency_auction/view/328
تـاريخ البيع - ليوم الأحد 2018/6/24 والمنفذ يوم الخميس 2018/6/21  ," 81,838,000","37,650,000","119,488,000",علماً أن :,https://cbi.iq/currency_auction/view/329
تـاريخ البيع - ليوم الأثنين 2018/6/25 والمنفذ يوم الأحد 2018/6/24  , ,اجمالي البيع النقدي,اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/330
تـاريخ البيع - ليوم الثلاثاء  2018/6/26 والمنفذ يوم الأثنين 2018/6/25  , ,اجمالي البيع النقدي,اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/331
تـاريخ البيع - ليوم الأربعاء 2018/6/27 والمنفذ يوم الثلاثاء 2018/6/26  ," 84,836,457","46,990,000","131,826,457",علماً أن :,https://cbi.iq/currency_auction/view/332
تـاريخ البيع - ليوم الخميس 2018/6/28 والمنفذ يوم الأربعاء 2018/6/27  ," 102,564,500","44,400,000","146,964,500",علماً أن :,https://cbi.iq/currency_auction/view/333
تـاريخ البيع - ليوم الاحد 2018/7/1 والمنفذ يوم الخميس 2018/6/28  ," 124,917,512","43,450,000","168,367,512",علماً أن :,https://cbi.iq/currency_auction/view/335
تـاريخ البيع - ليوم الاثنين 2018/7/2 والمنفذ يوم الأحد 2018/7/1  , ,اجمالي البيع النقدي,اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/336
تـاريخ البيع - ليوم الثلاثاء  2018/7/3 والمنفذ يوم الاثنين 2018/7/2  ,"133,537,006","45,000,000","178,537,006",علماً أن :,https://cbi.iq/currency_auction/view/337
تـاريخ البيع - ليوم الاربعاء  2018/7/4 والمنفذ يوم الثلاثاء 2018/7/3  ,"127,142,233","45,130,000","172,272,233",علماً أن :,https://cbi.iq/currency_auction/view/338
تـاريخ البيع - ليوم الخميس 2018/7/5 والمنفذ يوم الاربعاء 2018/7/4  ,"122,863,342","42,320,000","165,183,342",علماً أن :,https://cbi.iq/currency_auction/view/339
تـاريخ البيع - ليوم الأحد  2018/7/8 والمنفذ يوم الخميس 2018/7/5  ,"123,873,400","39,480,000","163,353,400",علماً أن :,https://cbi.iq/currency_auction/view/340
