date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - ليوم الأربعاء 2019/6/12 والمنفذ يوم الثلاثاء  2019/6/11  ,103628000.0,22640000.0,126268000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/582
تـاريخ البيع - ليوم الخميس 2019/6/13 والمنفذ يوم الأربعاء 2019/6/12  ,101656000.0,14250000.0,115906000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/583
تـاريخ البيع - ليوم الأحد 2019/6/16 والمنفذ يوم الخميس 2019/6/13  ,133164600.0,19910000.0,153074600.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/584
تـاريخ البيع - ليوم الأثنين 2019/6/17 والمنفذ يوم الأحد 2019/6/16  ,164628327.0,28780000.0,193408327.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/585
تـاريخ البيع - ليوم الثلاثاء 2019/6/18 والمنفذ يوم الأثنين 2019/6/17  ,184021100.0,21460000.0,205481100.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/586
تـاريخ البيع - ليوم الأربعاء 2019/6/19 والمنفذ يوم الثلاثاء 2019/6/18  ,179738500.0,27010000.0,206748500.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/587
تـاريخ البيع - ليوم الخميس 2019/6/20 والمنفذ يوم الأربعاء 2019/6/19  ,163229220.0,19080000.0,182309220.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/588
تـاريخ البيع - ليوم الأحد 2019/6/23 والمنفذ يوم الخميس 2019/6/20  ,204193272.0,20260000.0,224453272.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/589
تـاريخ البيع - ليوم الأثنين 2019/6/24 والمنفذ يوم الأحد 2019/6/23  ,203488065.0,28920000.0,232408065.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/590
تـاريخ البيع - ليوم الثلاثاء 2019/6/25 والمنفذ يوم الأثنين 2019/6/24  ,188096000.0,21440000.0,209536000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/591
تـاريخ البيع - ليوم الأربعاء 2019/6/26 والمنفذ يوم الثلاثاء 2019/6/25  ,190008290.0,24930000.0,214938290.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/592
تـاريخ البيع - ليوم الخميس 2019/6/27 والمنفذ يوم الأربعاء 2019/6/26  ,186000603.0,19500000.0,205500603.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/593
تـاريخ البيع - ليوم الأحد 2019/6/30 والمنفذ يوم الخميس 2019/6/27  ,186742550.0,19860000.0,206602550.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/594
تـاريخ البيع - ليوم الأثنين 2019/7/1 والمنفذ يوم الأحد 2019/6/30  ,191437200.0,29600000.0,221037200.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/595
تـاريخ البيع - ليوم الثلاثاء 2019/7/2 والمنفذ يوم الأثنين 2019/7/1  ,190125639.0,21280000.0,211405639.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/596
تـاريخ البيع - ليوم الأربعاء 2019/7/3 والمنفذ يوم الثلاثاء 2019/7/2  ,188499309.0,25840000.0,214339309.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/597
تـاريخ البيع - ليوم الخميس 2019/7/4 والمنفذ يوم الأربعاء 2019/7/3  ,179098578.0,16580000.0,195678578.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/598
تـاريخ البيع - ليوم الأحد 2019/7/7 والمنفذ يوم الخميس 2019/7/4  ,179676445.0,19140000.0,198816445.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/599
تـاريخ البيع - ليوم الأثنين 2019/7/8 والمنفذ يوم الأحد 2019/7/7  ,164124280.0,24390000.0,188514280.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/600
تـاريخ البيع - ليوم الثلاثاء 2019/7/9 والمنفذ يوم الأثنين2019/7/8  ,158538984.0,24220000.0,182758984.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/601
تـاريخ البيع - ليوم الأربعاء 2019/7/10 والمنفذ يوم الثلاثاء 2019/7/9  ,179284950.0,27030000.0,206314950.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/602
تـاريخ البيع - ليوم الخميس 2019/7/11 والمنفذ يوم الأربعاء 2019/7/10  ,178591091.0,19990000.0,198581091.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/603
تـاريخ البيع - ليوم الأحد 2019/7/14 والمنفذ يوم الخميس 2019/7/11  ,0.0,13140000.0,13140000.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/604
تـاريخ البيع - ليوم الأثنين 2019/7/15 والمنفذ يوم الخميس 2019/7/11  ,178040812.0,35530000.0,213570812.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/605
تـاريخ البيع - ليوم الثلاثاء 2019/7/16 والمنفذ يوم الأثنين 2019/7/15  ,158585350.0,21810000.0,180395350.0,سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/606
